map,x,y,radius,openerId,loopId
P113_The_Abyss.map,250,210,20,118,126
P113_The_Abyss.map,290,220,40,118,126
P113_The_Abyss.map,323,236,25,118,126
P113_The_Abyss.map,297,177,30,118,126
P113_The_Abyss.map,331,154,15,118,126
P113_The_Abyss.map,265,282,30,118,126
P113_The_Abyss.map,264,308,30,118,126
P115_Frostweaver_Rift.map,19,232,105,35,10
P115_Frostweaver_Rift.map,80,136,30,35,10
P115_Frostweaver_Rift.map,122,216,30,35,10
000_Greyfell.map,425,310,45,95,10
000_Greyfell.map,425,270,45,95,10
000_Greyfell.map,425,230,45,95,10
000_Greyfell.map,425,190,45,95,10
000_Greyfell.map,425,160,45,95,10
001_liannon.map,160,101,22,27,47
001_liannon.map,146,88,5,27,47
002_eloni.map,222,265,65,35,10
002_eloni.map,130,324,62,2,36
002_eloni.map,252,392,85,26,10
002_eloni.map,418,405,120,26,10
003_leafshade.map,460,380,215,54,61
004_the_shiel.map,375,340,80,21,41
004_the_shiel.map,510,300,90,21,41
004_the_shiel.map,298,150,30,102,10
005_wildland_pass.map,93,290,25,22,42
005_wildland_pass.map,80,278,20,22,42
005_wildland_pass.map,75,263,22,22,42
005_wildland_pass.map,271,265,43,70,71
005_wildland_pass.map,299,221,55,70,71
005_wildland_pass.map,169,234,80,70,71
005_wildland_pass.map,207,364,60,70,71
005_wildland_pass.map,145,330,45,70,71
006_icegate_marsh.map,503,508,450,49,56
007_northern_windwalls.map,267,375,60,95,96
007_northern_windwalls.map,425,11,300,20,40
007_northern_windwalls.map,182,200,13,20,40
007_northern_windwalls.map,195,200,16,20,40
008_southern_windwalls.map,322,494,20,80,10
008_southern_windwalls.map,334,484,20,80,10
008_southern_windwalls.map,350,475,15,80,10
008_southern_windwalls.map,368,478,30,80,10
008_southern_windwalls.map,676,474,160,53,60
008NP_stoneblade_mountain.map,362,306,80,19,39
008NP_stoneblade_mountain.map,150,409,190,52,59
009_greydusk_vale.map,96,219,70,50,57
009_greydusk_vale.map,139,160,40,50,57
009_greydusk_vale.map,96,290,60,50,57
009_greydusk_vale.map,95,350,65,50,57
009_greydusk_vale.map,219,283,26,25,10
009_greydusk_vale.map,240,284,10,25,10
009_greydusk_vale.map,250,284,8,25,10
009_greydusk_vale.map,260,284,8,25,10
009_greydusk_vale.map,174,284,18,98,10
012_howling_mounds.map,318,270,70,21,41
012_howling_mounds.map,318,200,70,21,41
012_howling_mounds.map,430,240,50,13,38
013_whisper.map,420,20,195,35,10
014_the_godwall.map,175,195,40,76,10
014_the_godwall.map,195,170,15,76,10
014_the_godwall.map,210,170,15,76,10
014_the_godwall.map,225,170,15,76,10
014_the_godwall.map,240,175,15,76,10
014_the_godwall.map,240,75,40,48,55
014_the_godwall.map,280,75,40,48,55
014_the_godwall.map,330,78,20,48,55
014_the_godwall.map,113,316,54,48,55
014_the_godwall.map,79,342,30,48,55
016_mulandir.map,245,310,50,26,46
016_mulandir.map,202,317,20,26,46
016_mulandir.map,280,335,35,26,46
016_mulandir.map,310,350,40,26,46
016_mulandir.map,343,378,50,26,46
016_mulandir.map,391,410,70,26,46
018_farlorns_hope.map,98,320,30,23,10
018_farlorns_hope.map,119,298,20,23,10
018_farlorns_hope.map,72,334,30,23,10
018_farlorns_hope.map,260,202,47,50,57
018_farlorns_hope.map,266,302,20,20,40
018_farlorns_hope.map,263,324,30,20,40
018_farlorns_hope.map,260,354,50,20,40
018_farlorns_hope.map,256,397,50,20,40
019_the_rift.map,250,260,140,21,41
021_southern_godmark.map,380,50,40,25,10
021_southern_godmark.map,384,160,65,35,10
021_southern_godmark.map,396,394,90,52,59
021_southern_godmark.map,320,394,90,52,59
021_southern_godmark.map,250,394,90,52,59
023_nightwhisper_dale.map,153,95,35,100,101
023_nightwhisper_dale.map,217,317,60,35,10
023_nightwhisper_dale.map,130,405,80,26,46
027_sharrowdale.map,155,31,70,35,10
027_sharrowdale.map,323,390,70,54,61
027_sharrowdale.map,370,368,60,54,61
027_sharrowdale.map,403,370,80,54,61

