id,file,type
88,forbidden_zone.mp3,PlatformPlain
89,celtic_march.mp3,PlatformPlain
90,ogre_battle.mp3,PlatformPlain
91,red_legion.mp3,PlatformPlain
92,order_of_dawn.mp3,PlatformPlain
93,battlefields.mp3,PlatformPlain
94,strategy_and_gameplay.mp3,PlatformPlain
95,sharrowdale.mp3,LocationOpener
96,sharrowdale.mp3,LocationLoop
97,battle_music2.mp3,Battle
98,entry_silence.mp3,LocationOpener
99,plain_silence.mp3,Movie
100,battle_blade.mp3,DominationOpener
101,battle_blade.mp3,DominationLoop
102,era_of_the_orcs.mp3,DominationOpener
103,era_of_the_orcs.mp3,DominationLoop
104,plain_mountainworld.mp3,PlatformPlain
111,elvensong_menu.mp3,MainMenu
112,battle_on.mp3,Battle
113,close_combat.mp3,Combat
114,black_gate.mp3,LocationOpener
115,call_of_the_dead.mp3,LocationOpener
116,despair.mp3,LocationOpener
117,doomsday.mp3,LocationOpener
118,dungeon_dimension.mp3,LocationOpener
119,human_village.mp3,LocationOpener
120,ice_elves.mp3,LocationOpener
121,rune_master.mp3,LocationOpener
122,black_gate.mp3,LocationLoop
123,call_of_the_dead.mp3,LocationLoop
124,despair.mp3,LocationLoop
125,doomsday.mp3,LocationLoop
126,dungeon_dimension.mp3,LocationLoop
127,human_village.mp3,LocationLoop
128,ice_elves.mp3,LocationLoop
129,rune_master.mp3,LocationLoop
130,plain_darkened.mp3,LocationOpener
131,plain_mystified.mp3,LocationOpener
132,plain_enchanted.mp3,LocationOpener
133,plain_darkened.mp3,LocationLoop
134,plain_mystified.mp3,LocationLoop
135,plain_enchanted.mp3,LocationLoop
136,rune_master.mp3,PlatformOpener
137,ice_elves.mp3,PlatformOpener
138,black_gate.mp3,PlatformPlain
139,call_of_the_dead.mp3,PlatformPlain
140,despair.mp3,PlatformPlain
141,doomsday.mp3,PlatformPlain
142,dungeon_dimension.mp3,PlatformPlain
143,human_village.mp3,PlatformPlain
144,ice_elves.mp3,PlatformPlain
145,rune_master.mp3,PlatformPlain
146,plain_darkened.mp3,PlatformPlain
147,plain_mystified.mp3,PlatformPlain
148,plain_enchanted.mp3,PlatformPlain
150,call_of_the_dead.mp3,PlatformOpener
200,army_of_darkness.mp3,MainMenu
201,battle_of_the_undead.mp3,Battle
202,combat_and_fight.mp3,Combat
205,arena.mp3,LocationOpener
206,bone_temple.mp3,LocationOpener
207,bone_temple_whisper.mp3,LocationOpener
208,city_of_souls.mp3,LocationOpener
209,empyria.mp3,LocationOpener
210,the_clockwork_crypts.mp3,LocationOpener
211,the_gorge.mp3,LocationOpener
212,the_kathai.mp3,LocationOpener
213,whisper.mp3,LocationOpener
215,arena.mp3,LocationLoop
216,bone_temple.mp3,LocationLoop
217,bone_temple_whisper.mp3,LocationLoop
218,city_of_souls.mp3,LocationLoop
219,the_clockwork_crypts.mp3,LocationLoop
220,the_gorge.mp3,LocationLoop
221,whisper.mp3,LocationLoop
222,plains_of_blackwater.mp3,LocationOpener
223,plains_of_devastation.mp3,LocationOpener
224,plains_of_myth.mp3,LocationOpener
225,plains_of_blackwater.mp3,LocationLoop
226,plains_of_devastation.mp3,LocationLoop
227,plains_of_myth.mp3,LocationLoop
228,empyria.mp3,PlatformOpener
229,the_kathai.mp3,PlatformOpener
230,bone_temple.mp3,PlatformPlain
231,bone_temple_whisper.mp3,PlatformPlain
232,city_of_souls.mp3,PlatformPlain
233,the_clockwork_crypts.mp3,PlatformPlain
234,the_gorge.mp3,PlatformPlain
235,whisper.mp3,PlatformPlain
236,plains_of_blackwater.mp3,PlatformPlain
237,plains_of_devastation.mp3,PlatformPlain
238,plains_of_myth.mp3,PlatformPlain
240,arena.mp3,DominationOpener
241,arena.mp3,DominationLoop
242,atmo_oasis.mp3,LocationOpener
243,atmo_oasis.mp3,LocationLoop
245,plain_waterworld.mp3,PlatformOpener
246,plain_iceworld.mp3,PlatformOpener
247,plain_desertworld.mp3,PlatformOpener
248,plain_waterworld2.mp3,PlatformOpener
249,plain_mountainworld.mp3,PlatformOpener
250,plain_lavaworld.mp3,PlatformOpener
251,plain_swampworld.mp3,PlatformOpener
252,plain_world.mp3,PlatformOpener
253,plain_darkened.mp3,PlatformOpener
254,plain_mystified.mp3,PlatformOpener
255,plain_enchanted.mp3,PlatformOpener
256,plains_of_blackwater.mp3,PlatformOpener
257,plains_of_devastation.mp3,PlatformOpener
258,plains_of_myth.mp3,PlatformOpener

